"GAME_ID","EVENTNUM","EVENTMSGTYPE","EVENTMSGACTIONTYPE","PERIOD","WCTIMESTRING","PCTIMESTRING","HOMEDESCRIPTION","NEUTRALDESCRIPTION","VISITORDESCRIPTION","SCORE","SCOREMARGIN","PERSON1TYPE","PLAYER1_ID","PLAYER1_NAME","PLAYER1_TEAM_ID","PLAYER1_TEAM_CITY","PLAYER1_TEAM_NICKNAME","PLAYER1_TEAM_ABBREVIATION","PERSON2TYPE","PLAYER2_ID","PLAYER2_NAME","PLAYER2_TEAM_ID","PLAYER2_TEAM_CITY","PLAYER2_TEAM_NICKNAME","PLAYER2_TEAM_ABBREVIATION","PERSON3TYPE","PLAYER3_ID","PLAYER3_NAME","PLAYER3_TEAM_ID","PLAYER3_TEAM_CITY","PLAYER3_TEAM_NICKNAME","PLAYER3_TEAM_ABBREVIATION"
"0021500331","0","12","0","1","8:11 PM","12:00",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"0021500331","1","10","0","1","8:11 PM","12:00","Jump Ball Adams vs. Horford: Tip to Ibaka",NA,NA,NA,NA,"4","203500","Steven Adams","1610612760","Oklahoma City","Thunder","OKC","5","201143","Al Horford","1610612737","Atlanta","Hawks","ATL","4","201586","Serge Ibaka","1610612760","Oklahoma City","Thunder","OKC"
"0021500331","2","5","1","1","8:12 PM","11:44","Durant Bad Pass Turnover (P1.T1)",NA,"Sefolosha STEAL (1 STL)",NA,NA,"4","201142","Kevin Durant","1610612760","Oklahoma City","Thunder","OKC","5","200757","Thabo Sefolosha","1610612737","Atlanta","Hawks","ATL","0","0",NA,NA,NA,NA,NA
"0021500331","3","1","1","1","8:12 PM","11:37",NA,NA,"Korver  3PT Jump Shot (3 PTS) (Teague 1 AST)","3 - 0","-3","5","2594","Kyle Korver","1610612737","Atlanta","Hawks","ATL","5","201952","Jeff Teague","1610612737","Atlanta","Hawks","ATL","0","0",NA,NA,NA,NA,NA
"0021500331","4","2","1","1","8:12 PM","11:12","MISS Roberson  3PT Jump Shot",NA,NA,NA,NA,"4","203460","Andre Roberson","1610612760","Oklahoma City","Thunder","OKC","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"0021500331","5","4","0","1","8:12 PM","11:12",NA,NA,"Horford REBOUND (Off:0 Def:1)",NA,NA,"5","201143","Al Horford","1610612737","Atlanta","Hawks","ATL","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"0021500331","7","6","2","1","8:13 PM","10:57","Durant S.FOUL (P1.T1) (K.Mauer)",NA,NA,NA,NA,"4","201142","Kevin Durant","1610612760","Oklahoma City","Thunder","OKC","5","200757","Thabo Sefolosha","1610612737","Atlanta","Hawks","ATL","1","0",NA,NA,NA,NA,NA
"0021500331","8","3","11","1","8:13 PM","10:57",NA,NA,"Sefolosha Free Throw 1 of 2 (1 PTS)","4 - 0","-4","5","200757","Thabo Sefolosha","1610612737","Atlanta","Hawks","ATL","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"0021500331","10","3","12","1","8:13 PM","10:57",NA,NA,"MISS Sefolosha Free Throw 2 of 2",NA,NA,"5","200757","Thabo Sefolosha","1610612737","Atlanta","Hawks","ATL","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"0021500331","12","4","0","1","8:13 PM","10:56","Durant REBOUND (Off:0 Def:1)",NA,NA,NA,NA,"4","201142","Kevin Durant","1610612760","Oklahoma City","Thunder","OKC","0","0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
